,reviews_classified3
0,nao to conseguindo cadastrar a chave pix aparece a mensagem de erro
1,oi bom dia tudo bem que voce que nubank cdb e chaves pix emailcelularescpf conta tem ja voce estranho um so real jogos de ganhar dinheiro real
2,quero desn bloqueiar
3,parabens pelo aplicativo maravilhoso so nao gostei que mesmo meu cpf nao sendo a chave pix quando mando ele pra tranferir pra outra conta sempre aparece a do nubank
4,porque eu não consigo colar a chave pix no momento de enviar
5,ja estava na hora de ter no aplicativo o token pinformar na ura sugeri isso ha 4 anos e naaaada podia tb ter opcao de bloqueio temporario do disponivel em conta corrente e não so no cartao
6,e pessimo bloqueio meu aplicativo nao consigo tirar meu dinheiro
7,tenho 2 reclamacoes 1 tiraram a opcao de bloqueio de cartao no aplicativo 2 nao aumentam meu limitesendo que eu nunca atrasei o pagamento e nunca parcelei a fatura total
8,cara porque que tiraram a opcao de fazer pix com o numero de celular botem de novo pfvr e se tiverajeita porque esta muito escondida a opcao de pix com a chave pix por numero de celularobgd
9,se tivesse como dar 5 estrelas ainda seria pouco pra avaliar esse projeto de aplicativo toda vez que faco um login nao dura mais que 1 mes e diz que o login nao e mais valido e tem que ser criado um novo e as chaves pix nao prestam so recebem mas sempre que vai passar um pix diz que nao e possivel realizar a transferencia e o suporte e inexistente nao funciona nunca resolvem o problema esse e o pior aplicativo de banco do mundo tenho certeza disso vou fazer um novo login e mudar de banco recomendo a todos fazerem o mesmo
10,frequentemente ha o bloqueio da senha sendo que acessa pela primeira vez no dia
11,to pequeno problemas porem caixa bloqueio minha conta mas fora isso e excelente
12,o dificil e essa chave tem valida na agencia
13,o aplicativo esta com problemas nao consigo receber pix nas minhas chaves cadastradas quem vai me mandar os pix esta com dificuldades pois diz que nao existe ou que o banco nao esta respondendo
14,otimo so nao dei as 5 estrelas pois os bancos digitais ta mrlhor em wiestao de chave pix fazemos tudo pelo celular ja aqui er mais complicado mais mesmo assim adorei o aplicativo
15,facil de olhar extrato e gostaria de ter a chave pix
16,nao e muito pratico quando se quer cadastrar chave pix tem que ir ate o eletronico poderia ser tudo pelo aplicativo
17,ta uma verdadeira burocracia para usar no meu j7 metal coloco opcao pix copia e cola clico em continuar ele pede o valorsendo que o aplicativo so disponibiliza valor na opcao de inserir a chave o loco me ajuda ai concertem isso ai que nao ta legal nao 🤦‍
18,nao esta funcionando e bloqueio o acesso
19,infelizmente o aplicativo e ultra obsoleto tanto no seu visual quanto na funcionalidade as funcoes nao estao organizadas de forma clara e intuitiva o que deixa o aplicativo com um visual muito poluido e nada intuitivo extra isto ainda tem o constante bloqueio de usuario e senha fazendo necessario a criacao contante de novo usuario e senha vamos melhorar este aplicativo caixa
20,o aplicativo ate da pra usar mas o caixa faz coisas muito chatas as vezes bloquearam minha chave de movimentacao por conta de saldo sendo que nem chegou a atingir o limite
21,o aplicativo esta dando muito bugue bloqueio e fica pedindo para ir ao caixa eletronico para desbloquear
22,aplicativo proveitoso porem o pix tem trazido alguns transtornos com o bloqueio da senha sem justificativa plausivel
23,ja foi bom hoje em dia nao e mais fez o bloqueio da minha conta 3 vezes desapontante
24,pra quem nao ta ligado como e golpe do pix fica aqui o aviso voce transfere um dos valores abaixo pra chave pix ce459992517d40bda9c9e9f987652964 espera 5 minutos pra receber o valor correspondente na sua conta nao recebe e faz uma thread xingando o nubank testem agora httpstcojlcsnp8g1y
25,botei o bloqueio de aplicativo na xiaomi espero nao cair no golpe do nubank
26,pessimo banco recebi um bloqueio do nada por simplesmente usar a conta e ainda prendem meu dinheiro
27,decepcionada chateadissimaaaaaa de inicio achei excelente a aquisicao do cartao sem as burocracias normais que algumas instituicoes financeiras exigem estava amando a praticidade do cartao ate me deparar com a inexplicavel situacao constrangedora de bloqueio por falta de pagamento a fatura vence dia 16 efetuei o pagamento bem antes da data 07 e foi comprovado o recebimento pela intuicao no dia 08 no proprio aplicativo aparece a confirmacao do pagamento e ainda assim meu carta foi bloqueado
28,nao passa pix via dados bancarios e nem pra chave aleatoria
29,pessimo o aplicativo so deixa voce usar se tiver senha de bloqueio no seu celular o aplicativo deveria ter o proprio bloqueio independente do celular
